vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price ;;
BMW Z4;62.659 km;feb-10;225 kW (306 CV);Manual;Gasolina;9,4;ES;-/- ;€ 25.900;;
BMW 330;166.544 km;abr-10;180 kW (245 CV);Automático;Diésel;6,8;ES;-/- ;€ 13.998;;
BMW 523;156.600 km;jul-10;150 kW (204 CV);Automático;Gasolina;7,6;ES;-/- ;€ 13.500;;
BMW 120;159.900 km;jun-10;130 kW (177 CV);Automático;Diésel;5,6;ES;-/- ;€ 14.980;;
BMW X5;269.500 km;abr-10;180 kW (245 CV);Automático;Diésel;7,4;ES;-/- ;€ 17.900;;
BMW X6;160.000 km;sep-10;180 kW (245 CV);Automático;Diésel;7,4;ES;-/- ;€ 24.500;;
BMW X5;260.000 km;nov-10;180 kW (245 CV);Automático;Diésel;7,4;ES;-/- ;€ 22.500;;
BMW 530;143.985 km;mar-10;180 kW (245 CV);Automático;Diésel;6,5;ES;-/- ;€ 16.200;;
BMW X6 M;164.000 km;may-10;408 kW (555 CV);Automático;Gasolina;13,9;ES;-/- ;€ 38.800;;
BMW 530;143.985 km;mar-10;180 kW (245 CV);Automático;Diésel;6,5;ES;-/- ;€ 16.200;;
BMW 118;165.000 km;mar-10;105 kW (143 CV);Manual;Diésel;4,5;ES;-/- ;€ 10.990;;
BMW 320;202.120 km;oct-10;135 kW (184 CV);Manual;Diésel;4,7;ES;-/- ;€ 9.200;;
BMW X1;198.000 km;mar-10;150 kW (204 CV);Automático;Diésel;6,3;ES;-/- ;€ 9.999;;
BMW 318;143.600 km;ago-10;105 kW (143 CV);Manual;Diésel;4,5;Unknown;119;€ 8.500;;
BMW 116;200.000 km;mar-10;85 kW (116 CV);Manual;Diésel;4,4;ES;-/- ;€ 6.995;;
BMW X5;179.000 km;mar-10;173 kW (235 CV);Automático;Diésel;8,2;ES;-/- ;€ 12.500;;
BMW 320;188.000 km;oct-10;135 kW (184 CV);Manual;Diésel;4,7;ES;-/- ;€ 14.900;;
BMW 118;150.000 km;jul-10;105 kW (143 CV);Manual;Diésel;4,5;ES;-/- ;€ 16.900;;
BMW Z4;120.000 km;jun-10;150 kW (204 CV);Manual;Gasolina;8,5;ES;-/- ;€ 17.990;;
BMW Z4;46.000 km;jul-10;150 kW (204 CV);Manual;Gasolina;8,5;Unknown;199;€ 22.500;;
BMW X1;117.800 km;may-10;105 kW (143 CV);Manual;Diésel;5,7;ES;-/- ;€ 10.500;;
BMW 318;196.000 km;mar-10;105 kW (143 CV);Manual;Diésel;4,8;Unknown;125;€ 7.600;;
BMW 320;144.888 km;ago-10;125 kW (170 CV);Automático;Gasolina;6,4;ES;-/- ;€ 10.900;;
BMW X1;199.000 km;jun-10;130 kW (177 CV);Automático;Diésel;5,9;ES;-/- ;€ 10.900;;
BMW 525;38.974 km;may-10;150 kW (204 CV);Automático;Diésel;6,1;ES;-/- ;€ 17.700;;
BMW 320;158.000 km;oct-10;120 kW (163 CV);Manual;Diésel;4,1;Unknown;109;€ 8.800;;
BMW 320;161.871 km;nov-10;135 kW (184 CV);Automático;Diésel;4,8;ES;-/- ;€ 10.400;;
