vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price ;;;
BMW 118;291.263 km;mar-11;1 kW (1 CV);-/- (Cambio);Diésel;-/- ;Unknown;-/- ;€ 8.194;;;
BMW 318;76.000 km;ene-11;105 kW (143 CV);Manual;Diésel;-/- ;ES;-/- ;€ 6.996;;;
BMW 120;272.800 km;ago-11;125 kW (170 CV);Manual;Gasolina;6,5;ES;-/- ;€ 8.499;;;
BMW 118;130.787 km;abr-11;105 kW (143 CV);Manual;Diésel;4,4;ES;-/- ;€ 10.000;;;
BMW X3;146.000 km;mar-11;135 kW (184 CV);Automático;Diésel;5,6;ES;147;€ 15.995;;;
BMW 730;165.000 km;ene-11;180 kW (245 CV);Automático;Diésel;7,2;ES;-/- ;€ 19.900;;;
BMW 535;236.243 km;abr-11;1 kW (1 CV);-/- (Cambio);Diésel;-/- ;Unknown;-/- ;€ 10.395;;;
BMW 118;287.236 km;may-11;1 kW (1 CV);-/- (Cambio);Diésel;-/- ;Unknown;-/- ;€ 7.826;;;
BMW 320;157.881 km;nov-11;135 kW (184 CV);Manual;Diésel;4,8;ES;-/- ;€ 11.499;;;
BMW 740;341.889 km;ene-11;225 kW (306 CV);Automático;Diésel;7 l/;ES;-/- ;€ 20.990;;;
BMW 740;341.889 km;ene-11;225 kW (306 CV);Automático;Diésel;7 l/;ES;-/- ;€ 20.990;;;
BMW X3;239.000 km;jun-11;135 kW (184 CV);Automático;Diésel;5,6;ES;-/- ;€ 14.999;;;
BMW 640;55.200 km;may-11;235 kW (320 CV);Automático;Gasolina;7,9;ES;-/- ;€ 38.900;;;
BMW X6 M;62.000 km;oct-11;408 kW (555 CV);Automático;Gasolina;13,9;ES;-/- ;€ 39.990;;;
BMW 535;235.000 km;sep-11;230 kW (313 CV);Automático;Diésel;5,4;ES;-/- ;€ 19.500;;;
BMW 730;239.000 km;ene-11;180 kW (245 CV);Automático;Diésel;7,3;ES;-/- ;€ 16.900;;;
BMW 320;136.057 km;mar-11;135 kW (184 CV);Automático;Diésel;4,4;ES;-/- ;€ 10.900;;;
BMW 320;269.021 km;nov-11;135 kW (184 CV);Manual;Diésel;4,5;ES;-/- ;€ 6.500;;;
BMW X1;99.032 km;nov-11;105 kW (143 CV);Automático;Diésel;5,9;ES;-/- ;€ 13.500;;;
BMW X1;190.000 km;mar-11;130 kW (177 CV);Manual;Diésel;5,3;ES;-/- ;€ 10.495;;;
BMW X1;131.677 km;may-11;130 kW (177 CV);Automático;Diésel;5,3;ES;-/- ;€ 13.100;;;
BMW X1;172.000 km;ene-11;130 kW (177 CV);Automático;Diésel;6,2;ES;-/- ;€ 10.999;;;
BMW 520;239.000 km;ene-11;135 kW (184 CV);Automático;Diésel;5,1;ES;-/- ;€ 14.995;;;
