vehicle;  km; year; power; transmision; fuel_type; consume; country;emisions;price ;
Audi A3;81.620 km;abr-11;92 kW (125 CV);Manual;Gasolina;5,8;ES;-/- ;€ 11.900;
Audi A4;332.000 km;mar-12;100 kW (136 CV);Manual;Diésel;4,6;Unknown;120;€ 7.450;
Audi A4;154.604 km;dic-11;118 kW (160 CV);Automático;Gasolina;7,2;Unknown;169;€ 9.300;
Audi A5;105.000 km;may-10;120 kW (163 CV);Manual;Diésel;5,5;Unknown;144;€ 18.250;
Audi TTS;94.000 km;may-11;200 kW (272 CV);Automático;Gasolina;7,9;Unknown;184;€ 23.000;
Audi A4;299.000 km;mar-10;105 kW (143 CV);Manual;Diésel;5,3;Unknown;139;€ 6.999;
Audi A6;135.000 km;oct-11;150 kW (204 CV);Automático;Diésel;5,2;ES;-/- ;€ 16.990;
Audi S3;188.000 km;dic-10;195 kW (265 CV);Manual;Gasolina;8,5;Unknown;199;€ 9.000;
Audi A1;72.000 km;ago-12;90 kW (122 CV);Manual;Gasolina;5,4;Unknown;126;€ 16.000;
Audi A4;166.500 km;dic-12;105 kW (143 CV);Manual;Diésel;4,5;Unknown;119;€ 15.200;
Audi TT;128.000 km;abr-11;155 kW (211 CV);Manual;Gasolina;6,6;Unknown;154;€ 13.000;
Audi A8;270.000 km;jul-11;368 kW (500 CV);Automático;Gasolina;12,4;ES;-/- ;€ 26.490;
Audi A7;170.000 km;abr-11;180 kW (245 CV);Automático;Diésel;6 l/;AT;158;€ 24.690;
Audi A3;122.000 km;mar-11;77 kW (105 CV);Manual;Gasolina;5,5;DE;127;€ 6.800;
Audi A5;231.000 km;abr-10;155 kW (211 CV);Manual;Gasolina;6,4;DE;152;€ 7.500;
Audi A3;207.000 km;dic-10;125 kW (170 CV);Manual;Diésel;5,6;DE;148;€ 6.600;
Audi A3;264.359 km;mar-12;103 kW (140 CV);Automático;Diésel;4,9;Unknown;129;€ 10.500;
Audi A3;196.000 km;may-10;103 kW (140 CV);Manual;Diésel;4,4;Unknown;115;€ 8.000;
Audi A4;136.700 km;abr-10;88 kW (120 CV);Manual;Diésel;-/- ;Unknown;-/- ;€ 10.550;
Audi A4;225.000 km;ene-10;125 kW (170 CV);Manual;Diésel;5,7;Unknown;149;€ 10.500;
Audi A5;150.100 km;ago-11;155 kW (211 CV);Manual;Gasolina;6,4;Unknown;149;€ 10.100;
Audi A1;187.000 km;oct-11;66 kW (90 CV);Manual;Diésel;3,8;Unknown;99 g;€ 7.000;
Audi TT;109.702 km;nov-12;125 kW (170 CV);Manual;Diésel;5,3;Unknown;139;€ 17.980;
Audi A6;110.000 km;jul-11;100 kW (136 CV);Manual;Diésel;5,3;Unknown;139;€ 18.000;
Audi A5;205.000 km;jul-11;120 kW (163 CV);Manual;Diésel;5,5;Unknown;144;€ 11.000;
Audi A3;215.000 km;sep-11;92 kW (125 CV);Manual;Gasolina;5,8;Unknown;134;€ 7.450;
Audi A3;88.000 km;feb-11;77 kW (105 CV);Manual;Gasolina;5,5;Unknown;127;€ 9.500;
Audi A4;120.000 km;mar-10;88 kW (120 CV);Manual;Gasolina;7,1;Unknown;164;€ 8.400;
Audi A6;100.800 km;jul-12;132 kW (179 CV);Manual;Gasolina;6,6;BE;154;€ 17.900;
Audi A5;150.000 km;jun-12;125 kW (170 CV);-/- (Cambio);Gasolina;6,2;Unknown;143;€ 19.500;
Audi A6;105.000 km;oct-12;132 kW (179 CV);Automático;Gasolina;6,4;Unknown;149;€ 15.950;
Audi A3;140.250 km;abr-12;92 kW (125 CV);Manual;Gasolina;5,8;Unknown;134;€ 10.750;
Audi A4;138.250 km;dic-12;130 kW (177 CV);Automático;Diésel;5,7;AT;144;€ 15.890;
